Категория,Значение
B,13.85
B,13.05
A,14.39
C,90.71
C,6.81
D,3.25
C,24.71
B,46.94
A,93.87
C,63.52
B,55.84
A,33.2
C,97.31
B,53.08
C,40.33
A,77.02
C,71.89
B,97.91
C,79.29
C,6.23
C,92.29
B,99.69
A,76.61
A,36.91
A,26.78
B,4.39
C,32.22
B,1.78
D,74.03
A,48.88
B,3.77
A,89.13
B,3.27
D,69.43
B,52.04
C,89.2
C,98.31
D,27.88
C,93.05
B,26.47
C,14.32
B,54.61
B,77.12
B,84.19
D,20.57
C,50.29
C,11.94
C,53.56
B,87.68
C,30.53
B,40.94
B,47.25
B,14.18
B,52.59
C,45.14
D,75.86
A,72.16
A,64.74
B,41.31
B,23.1
C,2.87
A,20.43
D,95.72
D,39.57
B,74.85
B,18.56
C,14.99
D,78.53
A,98.87
D,45.29
A,72.71
D,4.52
C,81.28
B,99.21
D,70.94
B,24.79
C,67.55
A,42.1
D,38.06
B,35.02
D,25.34
B,84.72
C,25.77
D,89.63
C,94.64
B,58.14
C,61.44
A,29.09
D,55.92
B,93.21
A,86.64
A,57.41
D,24.47
A,88.54
D,90.72
D,44.53
C,59.88
D,41.42
A,27.22
D,82.75
