Категория,Значение
C,21.7
A,52.89
D,63.21
D,72.92
A,63.07
B,21.02
B,38.07
B,21.27
D,25.01
B,22.64
A,30.84
C,17.57
C,4.98
C,3.1
C,7.5
C,10.45
C,70.2
C,86.55
D,67.54
D,14.36
D,8.97
B,24.91
C,13.55
D,4.0
C,5.66
D,98.96
D,23.92
B,49.77
C,58.99
D,24.71
B,41.41
C,51.8
D,0.97
B,11.25
D,57.85
A,49.81
D,31.95
A,37.25
C,17.8
C,72.56
B,41.03
A,73.26
C,40.44
B,60.57
A,60.77
C,0.4
A,13.36
C,28.19
B,85.46
D,4.13
D,5.49
A,49.42
B,77.2
B,62.82
D,66.35
B,56.3
C,68.74
A,78.45
B,58.13
B,68.07
B,69.84
D,51.76
A,35.47
A,93.81
C,19.71
C,59.08
C,42.78
B,26.39
A,59.12
C,31.76
B,16.8
B,53.05
A,30.92
D,5.24
D,22.82
D,39.64
C,38.45
D,25.94
B,67.99
A,26.44
D,92.34
D,73.7
A,15.39
B,48.06
C,79.92
B,53.26
B,57.47
A,67.68
D,11.52
A,83.29
D,87.83
D,25.67
D,4.35
A,75.65
A,38.21
B,81.64
D,97.56
C,21.35
A,44.61
B,54.25
