Категория,Значение
D,83.06
A,77.42
B,4.09
A,42.22
A,53.33
A,32.59
B,90.91
D,11.17
B,41.35
C,65.0
D,39.3
A,33.74
B,9.06
D,95.87
D,69.62
D,46.27
B,93.24
A,56.47
B,65.01
C,0.22
B,90.04
B,4.02
D,99.0
A,57.14
A,58.0
B,99.59
C,32.29
A,20.84
A,47.7
A,89.52
A,56.89
B,70.58
B,50.45
D,75.06
B,46.13
B,29.12
B,69.16
C,47.75
C,75.46
D,68.57
A,91.58
A,82.46
B,9.31
B,81.8
D,63.42
A,42.0
B,60.12
C,44.17
D,81.82
D,30.18
D,65.13
D,12.45
C,32.1
A,95.24
B,87.2
D,79.6
C,10.24
A,5.2
D,56.15
C,56.44
A,99.92
A,80.93
D,56.31
C,33.44
A,64.98
B,6.06
D,49.13
C,73.87
C,12.39
B,10.66
C,47.69
A,69.37
A,53.51
A,5.32
C,34.13
B,13.3
A,92.37
C,45.26
B,86.49
D,62.14
A,95.65
B,76.18
B,7.55
B,30.96
C,89.24
A,95.32
A,26.1
A,1.47
C,75.53
D,47.34
C,84.36
A,69.44
B,26.18
A,63.26
D,48.87
A,30.45
A,19.71
B,42.61
B,69.83
B,93.25
