Категория,Значение
C,48.71
D,10.01
D,0.04
D,49.2
B,27.89
B,33.76
C,55.44
A,2.32
C,99.44
A,27.78
B,79.77
D,49.74
B,41.95
D,22.95
C,99.21
B,42.24
B,1.62
D,26.75
D,9.15
A,63.37
A,66.62
B,62.49
C,2.27
B,92.38
D,90.45
A,54.57
D,78.2
C,64.68
C,23.29
C,90.68
A,71.44
D,89.38
C,15.99
C,24.76
C,23.25
B,58.49
C,92.97
C,71.1
B,15.34
A,16.12
A,30.01
D,19.46
A,59.5
B,3.56
B,20.24
B,20.76
B,92.38
B,24.43
C,84.33
D,14.66
B,77.05
D,65.86
D,14.8
A,49.05
A,50.36
D,4.59
A,78.2
D,5.65
D,94.18
D,86.48
B,74.01
B,3.91
A,35.58
B,73.97
B,29.28
D,81.61
A,37.83
B,52.57
D,36.82
A,83.53
D,51.21
A,51.02
B,66.65
B,39.64
C,59.04
A,10.07
B,29.53
B,80.86
B,78.29
A,63.81
D,34.85
A,46.47
C,4.0
C,99.62
C,86.16
D,30.9
A,51.4
B,37.18
C,57.14
D,88.97
B,1.81
A,94.24
B,99.24
C,79.9
B,69.79
A,1.76
A,65.51
D,72.96
C,76.58
B,78.92
